_id,customer_id,store_id,first_name,last_name,email,address,create_date,active
60c5fd1120a4480539dae779,0,0,shivansh,Singh,shivansh@gmail.com,10.0,01-06-2021,
60c6050f0eb07c46f4e7b929,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b92a,2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b92c,4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b92f,7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b930,8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b931,9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b932,10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b933,11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b934,12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b935,13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b936,14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b937,15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b938,16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,,,0
60c6050f0eb07c46f4e7b939,17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93a,18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93b,19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93c,20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93d,21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93e,22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b93f,23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b940,24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b941,25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b942,26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b943,27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b944,28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b945,29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b946,30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b947,31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b948,32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b949,33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b94a,34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,,,1
60c6050f0eb07c46f4e7b94b,35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,,,1
